,ID,TypeGefailleerde,RegioS,Perioden,UitgesprokenFaillissementen_1
2023,2023,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 juni,8.0
2024,2024,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 2e kwartaal,30.0
2025,2025,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 juli,12.0
2026,2026,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 augustus,15.0
2027,2027,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 september,5.0
2028,2028,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 3e kwartaal,32.0
2029,2029,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 oktober,11.0
2030,2030,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 november,8.0
2031,2031,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 december,5.0
2032,2032,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 4e kwartaal,24.0
2033,2033,"Bedrijven, instellingen en eenmanszaken",Groningen,2018,107.0
2034,2034,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 januari,1.0
2035,2035,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 februari,8.0
2036,2036,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 maart,7.0
2037,2037,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 1e kwartaal,16.0
2038,2038,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 april,4.0
2039,2039,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 mei,6.0
2040,2040,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 juni,15.0
2041,2041,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 2e kwartaal,25.0
2042,2042,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 juli,10.0
2043,2043,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 augustus,5.0
2044,2044,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 september,4.0
2045,2045,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 3e kwartaal,19.0
2046,2046,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 oktober,21.0
2047,2047,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 november,17.0
2048,2048,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 december,12.0
2049,2049,"Bedrijven, instellingen en eenmanszaken",Groningen,2019 4e kwartaal,50.0
2050,2050,"Bedrijven, instellingen en eenmanszaken",Groningen,2019,110.0
2051,2051,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 januari,3.0
2052,2052,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 februari,8.0
2053,2053,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 maart,9.0
2054,2054,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 1e kwartaal,20.0
2055,2055,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 april,13.0
2056,2056,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 mei,16.0
2057,2057,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 juni,7.0
2058,2058,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 2e kwartaal,36.0
2059,2059,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 juli,7.0
2060,2060,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 augustus,3.0
2061,2061,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 september,4.0
2062,2062,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 3e kwartaal,14.0
2063,2063,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 oktober,5.0
2064,2064,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 november,7.0
2065,2065,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 december,4.0
2066,2066,"Bedrijven, instellingen en eenmanszaken",Groningen,2020 4e kwartaal,16.0
2067,2067,"Bedrijven, instellingen en eenmanszaken",Groningen,2020,86.0
2068,2068,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 januari,7.0
2069,2069,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 februari,2.0
2070,2070,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 maart,6.0
2071,2071,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 1e kwartaal,15.0
2072,2072,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 april,2.0
2073,2073,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 mei,6.0
2074,2074,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 juni,5.0
2075,2075,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 2e kwartaal,13.0
2076,2076,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 juli,3.0
2077,2077,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 augustus,7.0
2078,2078,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 september,6.0
2079,2079,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 3e kwartaal,16.0
2080,2080,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 oktober,1.0
2081,2081,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 november,9.0
2082,2082,"Bedrijven, instellingen en eenmanszaken",Groningen,2021 december,3.0
